,name,link,company,city,salary_min,salary_max,salary_currency
320,Web designer (Веб-дизайнер UI/UX),https://hh.ru/vacancy/54601894?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Профитсайз,"Москва, Бауманская",50000,70000,
321,Game Monetization Designer / LiveOps,https://hh.ru/vacancy/54465822?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Plarium,Москва,,,
322,UX/UI Designer middle+,https://hh.ru/vacancy/54499791?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ITPO group,Москва,,,
323,Дизайнер,https://hh.ru/vacancy/54246285?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Агентство стратегического развития «ЦЕНТР»,"Москва, Арбатская",50000,70000,
324,Дизайнер пользовательских интерфейсов (UX/UI),https://hh.ru/vacancy/54478030?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ЗАО ТЕРМИКА,Москва,90000,120000,
325,Lead Product Designer (Demand),https://hh.ru/vacancy/54509597?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,СберМаркет,Москва,,,
326,Senior Digital Product Designer,https://hh.ru/vacancy/54499122?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AdGuard,"Москва, Тульская и еще 1 ",,,
327,Графический дизайнер,https://hh.ru/vacancy/54499219?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Фиджи Спорт Клуб,Москва,,80000,руб.
328,Layout Designer (Marketing Design Agency),https://hh.ru/vacancy/54419215?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Semrush,Москва,,,
329,Графический дизайнер,https://hh.ru/vacancy/54432372?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Муз-ТВ,"Москва, Бауманская и еще 2 ",,,
330,Motion Designer,https://hh.ru/vacancy/54425592?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,IT-hunters,Москва,70000,80000,
331,Product designer,https://hh.ru/vacancy/54381317?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЕСН,"Москва, Парк культуры",200000,,руб.
332,Lead UI/UX Designer,https://hh.ru/vacancy/53983047?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
333,Senior UX/UI Designer,https://hh.ru/vacancy/53702520?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
334,Визуализатор,https://hh.ru/vacancy/54434845?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО BOLOTNY architecture & design,"Москва, Пушкинская и еще 1 ",,,
335,Game designer (match 2 core),https://hh.ru/vacancy/54296925?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Nakusi Games,Москва,,,
336,UX/UI designer,https://hh.ru/vacancy/53704901?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Т1 Консалтинг,"Москва, Автозаводская и еще 1 ",,,
337,Motion designer,https://hh.ru/vacancy/54459984?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Корпорация СИНЕРГИЯ,Москва,90000,100000,
338,UI/UX дизайнер,https://hh.ru/vacancy/53555606?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,idaproject,"Москва, Калужская",70000,,руб.
339,Senior UX Designer,https://hh.ru/vacancy/53266406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
340,Веб-дизайнер/Web-designer,https://hh.ru/vacancy/53182018?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,РОСЭЛТОРГ,"Москва, Павелецкая",,,
341,Product Designer,https://hh.ru/vacancy/54215617?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Dzing Finance,Москва,2500,3300,
342,Senior UX/UI Designer,https://hh.ru/vacancy/53702520?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
343,Product Designer,https://hh.ru/vacancy/54379232?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,FIX,Москва,,,
344,Creative Producer,https://hh.ru/vacancy/50778397?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Хайкор Геймз,Москва,,,
345,Product Designer,https://hh.ru/vacancy/54251388?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,LATOKEN,Москва,250000,450000,
346,Web-дизайнер/UI / UX дизайнер,https://hh.ru/vacancy/53805414?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ГрандТитул,Москва,120000,,руб.
347,Графический дизайнер,https://hh.ru/vacancy/54368998?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Esterk Lux Parfum,"Москва, Полежаевская",,,
348,Motion Designer,https://hh.ru/vacancy/54379396?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Azur Games,"Москва, Баррикадная и еще 2 ",,,
349,Senior Product Designer Mobile,https://hh.ru/vacancy/54197753?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Метр Квадратный,Москва,,,
350,Product Designer,https://hh.ru/vacancy/52913985?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Айсмарт,Москва,180000,,руб.
351,Product Design Lead,https://hh.ru/vacancy/53807270?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Юрент,Москва,,,
352,Narrative designer,https://hh.ru/vacancy/54137902?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Geeky House,Москва,,,
353,Архитектор,https://hh.ru/vacancy/54434871?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО BOLOTNY architecture & design,"Москва, Пушкинская и еще 1 ",,,
354,Head of Design,https://hh.ru/vacancy/54295614?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,TanukiTech (ООО ВЕГА),"Москва, Деловой центр",,,
355,Middle Frontend разработчик,https://hh.ru/vacancy/54290143?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Авторские медиа,Москва,200000,220000,
356,Junior Technical Game-Designer,https://hh.ru/vacancy/50526254?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BANZAI.GAMES,"Москва, Аэропорт",,,
357,Графический Дизайнер,https://hh.ru/vacancy/53287970?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,THOMAS MUNZ,"Москва, Щукинская",100000,,руб.
358,Дизайнер,https://hh.ru/vacancy/53450834?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Портобелло Продактс,"Москва, Улица 1905 года",70000,,руб.
359,UI-дизайнер веб-интерфейсов,https://hh.ru/vacancy/53616357?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Современные информационные технологии,Москва,,,
360,UX/UI Дизайнер (проектировщик интерфейсов),https://hh.ru/vacancy/54395277?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Монополия,Москва,,,
361,Lead UI/UX Designer,https://hh.ru/vacancy/51943548?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,KamaGames Studio,"Москва, Новокузнецкая",,,
362,Промышленный дизайнер / Industrial designer (MTS Devices),https://hh.ru/vacancy/53314151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ПАО «МТС» ,"Москва, Технопарк",,,
363,UI Designer (Senior),https://hh.ru/vacancy/54218853?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,Москва,,,
364,Дизайнер интерьеров,https://hh.ru/vacancy/54213353?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Студия дизайна Wanted Design Studio,Москва,70000,130000,
365,Middle Frontend разработчик,https://hh.ru/vacancy/54290143?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Авторские медиа,Москва,200000,220000,
366,Product Designer (mobile),https://hh.ru/vacancy/53986009?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Талала,Москва,,,
367,Графический дизайнер,https://hh.ru/vacancy/54299494?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Агентство по трудоустройству Ольги Тихомировой,Москва,,,
368,Industrial Designer,https://hh.ru/vacancy/53277051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Русджам Стеклотара Холдинг,"Москва, Бабушкинская",,,
369,Дизайнер в рекламное агентство (проектная работа),https://hh.ru/vacancy/54044140?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Веб-студия Мы Еноты,Москва,80000,150000,
370,3D Motion Designer / Моушен Дизайнер / CG Generalist,https://hh.ru/vacancy/54291425?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Экокомерс,Москва,60000,120000,
371,Ui designer (Дизайн-система),https://hh.ru/vacancy/54219398?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,Москва,,,
372,UI/UX-designer,https://hh.ru/vacancy/52480058?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО IQnergy,Москва,,,
373,Графический дизайнер,https://hh.ru/vacancy/54205446?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ОМНИК,Москва,,,
374,Дизайнер web-анимации,https://hh.ru/vacancy/54460265?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лига Ставок,"Москва, Белорусская",,,
375,3D Motion designer / 3D Моушн Дизайнер,https://hh.ru/vacancy/52558337?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Мир Хобби,"Москва, Бауманская",60000,130000,
376,Senior designer UX/UI,https://hh.ru/vacancy/54355627?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Вейман Варвара Петровна,Москва,,,
377,UX/UI Designer,https://hh.ru/vacancy/54054195?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,EMCD Tech LTD,Москва,,3000,USD
378,Graphic Designer/Illustrator,https://hh.ru/vacancy/54238711?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Guavapay Limited,Москва,1500,3000,USD
379,UI/UX Designer Game Dev,https://hh.ru/vacancy/54198245?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Red Rift,Москва,,,
380,Designer (Pixel art),https://hh.ru/vacancy/53697240?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ZiMAD,Москва,,,
381,Motion designer/видеодизайнер,https://hh.ru/vacancy/54283600?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,IvlAN,Москва,,,
382,Дизайн-менеджер / Design Manager,https://hh.ru/vacancy/47176867?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Devexperts,Москва,,,
383,Графический дизайнер,https://hh.ru/vacancy/53802066?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,АО Кон.Трол,Москва,,,
384,Level Designer (Hardcore),https://hh.ru/vacancy/50615766?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
385,Graphic designer (мобильные игры),https://hh.ru/vacancy/50339074?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ZiMAD,Москва,,,
386,Графический дизайнер,https://hh.ru/vacancy/52472042?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BetBoom,"Москва, Автозаводская и еще 1 ",,,
387,UI/UX designer (Game),https://hh.ru/vacancy/54293853?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,SPL,Москва,,,
388,Junior Design Engineer,https://hh.ru/vacancy/51497196?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Coleman Group,Москва,,,
389,Моушн дизайнер (Motion designer),https://hh.ru/vacancy/53690465?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Камон,"Москва, Академическая и еще 1 ",90000,,руб.
390,Графический дизайнер,https://hh.ru/vacancy/50847367?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ЛЕОВИТ нутрио,"Москва, Отрадное",,,
391,Lead Motion Designer (Ведущий Моушен дизайнер),https://hh.ru/vacancy/49122988?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Social Quantum,"Москва, Пушкинская и еще 1 ",,,
392,UI/UX Designer (E-learning / Gamedev) / Продуктовый дизайнер,https://hh.ru/vacancy/53333473?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Онлайн-школа Фоксфорд,"Москва, Тульская",,,
393,Помощник руководителя (дизайн и отделка помещений),https://hh.ru/vacancy/54133008?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Design-family,Москва,40000,80000,
394,"Руководитель проектов (фит-аут, design and build, отделка)",https://hh.ru/vacancy/53016044?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО АРС,"Москва, Октябрьское поле и еще 1 ",120000,,руб.
395,Senior designer,https://hh.ru/vacancy/52204050?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,СберМаркетинг,Москва,,,
396,Product designer B2B,https://hh.ru/vacancy/54044787?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,СберМаркет,Москва,,,
397,UX/UI Designer (Product designer),https://hh.ru/vacancy/53633045?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО СФ Лабс,Москва,,,
398,Графический дизайнер,https://hh.ru/vacancy/51781271?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Ларионова Наталия Михайловна,"Москва, Славянский бульвар",60000,,руб.
399,Графический дизайнер,https://hh.ru/vacancy/51207255?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО 9 Панд,"Москва, Алексеевская",80000,,руб.
400,2D Motion Designer (GameDev),https://hh.ru/vacancy/53933493?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Playkot,Москва,,,
401,Footwear designer,https://hh.ru/vacancy/51496881?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"Компания «СПОРТМАСТЕР», Производство и дистрибуция",Москва,,,
402,UX/UI Дизайнер,https://hh.ru/vacancy/54059636?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,TanukiTech (ООО ВЕГА),"Москва, Деловой центр",,,
403,Game Designer,https://hh.ru/vacancy/50539213?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
404,UX/UI Designer,https://hh.ru/vacancy/52247148?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"Иннотех, Группа компаний","Москва, Выставочная и еще 3 ",,,
405,Product designer/продуктовый дизайнер,https://hh.ru/vacancy/52407411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,B2B-Center,"Москва, Сокольники",,,
406,Дизайнер в event-агентство,https://hh.ru/vacancy/53588175?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Great,Москва,,,
407,Senior Level Designer (RnD),https://hh.ru/vacancy/54055113?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Белка Геймз,Москва,,,
408,Graphic Designer,https://hh.ru/vacancy/53826718?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AiNanoLab,Москва,3000,4000,
409,Senior UX designer,https://hh.ru/vacancy/49899031?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,USABILITYLAB,Москва,,,
410,Level Designer match-3 (Дизайнер уровней match-3),https://hh.ru/vacancy/53645876?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Social Quantum,"Москва, Пушкинская и еще 1 ",,,
411,Product Designer,https://hh.ru/vacancy/52304646?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Smartcat,"Москва, Отрадное",,,
412,UX/UI designer,https://hh.ru/vacancy/51353280?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Mercury,Москва,,,
413,Гейм-дизайнер по монетизации (MY.GAMES),https://hh.ru/vacancy/52846937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"VK, MY.GAMES",Москва,,,
414,Product Designer,https://hh.ru/vacancy/53950090?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Artec 3D Adriatica,"Москва, Библиотека им.Ленина и еще 3 ",,,
415,UX UI Designer,https://hh.ru/vacancy/53588369?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Группа НЛМК,Москва,,,
416,Графический дизайнер (Web-дизайнер),https://hh.ru/vacancy/53870652?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ROOMGRAM,Москва,,,
417,UI UX Дизайнер,https://hh.ru/vacancy/53777114?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Kukarella,Москва,50000,90000,
418,Game Designer,https://hh.ru/vacancy/53805298?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Glera Games,Москва,,,
419,Senior product designer,https://hh.ru/vacancy/50346485?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Osome,Москва,3000,,USD
420,Эксперт по исследованию клиентского опыта CX (b2c),https://hh.ru/vacancy/52287780?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Product Management,"Москва, Алексеевская",,,
421,Эксперт по исследованию клиентского опыта CX (b2b),https://hh.ru/vacancy/52287498?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Product Management,"Москва, Алексеевская",,,
422,Комплектатор в Дизайн интерьера,https://hh.ru/vacancy/54488777?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Итер Групп,"Москва, Бауманская",80000,150000,
423,Business Analyst (mobile development),https://hh.ru/vacancy/54493564?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Чистый разум,Москва,,,
424,Java developer (команда Монетизация),https://hh.ru/vacancy/52082133?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Backend,"Москва, Алексеевская",,,
425,Java developer (команда Интеграция),https://hh.ru/vacancy/52083698?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Backend,"Москва, Алексеевская",,,
426,Frontend разработчик,https://hh.ru/vacancy/54468910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Сошал Системс,"Москва, Коломенская",100000,200000,
427,Инженер-конструктор,https://hh.ru/vacancy/54463551?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Теневой Профиль,Москва,100000,150000,
428,Копирайтер / Сopywriter,https://hh.ru/vacancy/54463745?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Тритон,Москва,70000,,руб.
429,Operation manager / Администратор проекта / Офис-менеджер,https://hh.ru/vacancy/54419246?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Леони Кидс,"Москва, Динамо",80000,,руб.
430,Стилист консультант в ShowRoom,https://hh.ru/vacancy/54470276?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Sbalo,"Москва, Теплый Стан",43000,70000,руб.
431,Маркетолог/бренд-менеджер,https://hh.ru/vacancy/54457394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Департамент маркетинга,Москва,90000,,руб.
432,Менеджер по продажам дизайнерской мебели,https://hh.ru/vacancy/34259146?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЭСТЕТИКА,Москва,60000,200000,руб.
433,Дизайнер-консультант (м.Киевская),https://hh.ru/vacancy/47639587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Кухонный двор,"Москва, Киевская",80000,,руб.
434,Менеджер салона мебели / Продавец-консультант,https://hh.ru/vacancy/54167049?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"Эльба Мебель, Федеральная сеть",Москва,70000,,руб.
435,UI/UX дизайнер,https://hh.ru/vacancy/51319189?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Security Vision,"Москва, Новокузнецкая и еще 3 ",,,
436,Дизайнер 3D визуализатор,https://hh.ru/vacancy/53997912?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,АэроТакси-Сервис,"Москва, Румянцево",90000,,руб.
437,Дизайнер-архитектор (помощник дизайнера),https://hh.ru/vacancy/53481414?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Мастера Ремонта,"Москва, Площадь Ильича и еще 1 ",120000,,руб.
438,Графический дизайнер,https://hh.ru/vacancy/53649910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,REV,Москва,,,
439,UX/UI designer в международный стартап,https://hh.ru/vacancy/54553139?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Team4You,Москва,,,
440,Графический дизайнер,https://hh.ru/vacancy/49230167?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Экостандарт,"Москва, Бауманская",70000,,руб.
441,UI/UX дизайнер (Gamedev),https://hh.ru/vacancy/43310773?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Студия Кефир,Москва,,,
442,"Менеджер проектов (продажа мебели, премиум)",https://hh.ru/vacancy/54531502?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Gordon Design Studio,"Москва, Динамо и еще 1 ",40000,250000,
443,Ведущий креативный дизайнер,https://hh.ru/vacancy/53640647?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,LIMONI,"Москва, Первомайская",100000,120000,
444,Швея по шторам,https://hh.ru/vacancy/54515210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AJ Design,Москва,50000,,руб.
445,Арт-директор/Продуктовый дизайнер/Графический дизайнер,https://hh.ru/vacancy/52565839?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Академия Арт,Москва,,,
446,Дизайнер-верстальщик,https://hh.ru/vacancy/52427665?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Аледо,"Москва, Нагатинская",,60000,руб.
447,Дизайнер интерьера,https://hh.ru/vacancy/50699121?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Rerooms,Москва,,,
448,Графический дизайнер,https://hh.ru/vacancy/54515860?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Трухин Григорий Викторович,Москва,40000,,руб.
449,Графический дизайнер (Удаленная работа),https://hh.ru/vacancy/35659402?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Go Mobile,"Москва, Цветной бульвар",,,
450,Графический дизайнер (Effects),https://hh.ru/vacancy/54558563?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Prequel,Москва,,,
451,Продуктовый дизайнер (UX-UI),https://hh.ru/vacancy/53228036?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Сайтсофт,"Москва, Бауманская",,150000,руб.
452,Дизайнер,https://hh.ru/vacancy/51401596?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Sminex,Москва,140000,,руб.
453,Ведущий программист 1С,https://hh.ru/vacancy/54349430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Barcelona Design,"Москва, Курская и еще 1 ",,,
454,Архитектор-дизайнер,https://hh.ru/vacancy/54527041?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Вирке Хаус,Москва,60000,165000,
455,"Руководитель проектов (продажа мебели, премиум)",https://hh.ru/vacancy/54534689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Gordon Design Studio,"Москва, Динамо и еще 1 ",60000,150000,
456,Архитектор-дизайнер,https://hh.ru/vacancy/54389714?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЛЕО Компани,"Москва, Бульвар Рокоссовского и еще 2 ",80000,,руб.
457,Дизайнер презентаций/Архитектура,https://hh.ru/vacancy/54502595?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Даер Рус,"Москва, Динамо",50000,,руб.
458,Дизайнер по интерьерам и экстерьерам автомобилей,https://hh.ru/vacancy/54601454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Zart,Москва,150000,200000,руб.
459,Дизайнер презентаций,https://hh.ru/vacancy/52605330?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BetBoom,Москва,,,
