,name,link,company,city,salary_min,salary_max,salary_currency
88,Layout Designer (Marketing Design Agency),https://hh.ru/vacancy/54419215?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Semrush,Москва,,,
89,Графический дизайнер,https://hh.ru/vacancy/54432372?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Муз-ТВ,"Москва, Бауманская и еще 2 ",,,
90,Motion Designer,https://hh.ru/vacancy/54425592?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,IT-hunters,Москва,70000,80000,
91,Product designer,https://hh.ru/vacancy/54381317?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЕСН,"Москва, Парк культуры",200000,,руб.
92,UX/UI designer,https://hh.ru/vacancy/53704901?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Т1 Консалтинг,"Москва, Автозаводская и еще 1 ",,,
93,Lead UI/UX Designer,https://hh.ru/vacancy/53983047?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
94,Senior UX/UI Designer,https://hh.ru/vacancy/53702520?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
95,Визуализатор,https://hh.ru/vacancy/54434845?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО BOLOTNY architecture & design,"Москва, Пушкинская и еще 1 ",,,
96,Game designer (match 2 core),https://hh.ru/vacancy/54296925?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Nakusi Games,Москва,,,
97,Motion designer,https://hh.ru/vacancy/54459984?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Корпорация СИНЕРГИЯ,Москва,90000,100000,
98,UI/UX дизайнер,https://hh.ru/vacancy/53555606?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,idaproject,"Москва, Калужская",70000,,руб.
99,Senior UX Designer,https://hh.ru/vacancy/53266406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
100,UI-дизайнер,https://hh.ru/vacancy/51725383?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ЛИЦА,Москва,120000,,руб.
101,Product UX/UI designer,https://hh.ru/vacancy/54376305?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лига Ставок,"Москва, Белорусская",,,
102,Senior 2D Motion Designer (Старший 2д моушн-дизайнер),https://hh.ru/vacancy/54397245?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Multiways,"Москва, Ботанический сад и еще 2 ",80000,,руб.
103,Ведущий геймдизайнер / Lead Game Designer (gamedev),https://hh.ru/vacancy/54296615?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"GAME-GARDEN, Компания",Москва,,,
104,Game Designer (Hyper Casual),https://hh.ru/vacancy/53632920?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Nakusi Games,Москва,,,
105,Senior Game Designer/Старший Гейм Дизайнер,https://hh.ru/vacancy/53875037?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ТОО Rhinotales,Москва,,,
106,UX / UI Designer,https://hh.ru/vacancy/54436801?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Xometry Europe GmbH,Москва,,,
107,Дизайнер интерьеров,https://hh.ru/vacancy/54001807?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Mossebo (ИП Амелин Александр Вячеславович),"Москва, Автозаводская и еще 2 ",,,
108,Графический дизайнер,https://hh.ru/vacancy/54368998?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Esterk Lux Parfum,"Москва, Полежаевская",,,
109,Веб-дизайнер/Web-designer,https://hh.ru/vacancy/53182018?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,РОСЭЛТОРГ,"Москва, Павелецкая",,,
110,Дизайнер,https://hh.ru/vacancy/53450834?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Портобелло Продактс,"Москва, Улица 1905 года",70000,,руб.
111,"Дизайнер - консультант ""ЛайтКухни""",https://hh.ru/vacancy/53868974?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЛАЙТ,Москва,80000,,руб.
112,3D Motion Designer / 3D-Generalist (CG-дженералист),https://hh.ru/vacancy/54397138?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Multiways,"Москва, Ботанический сад и еще 2 ",100000,,руб.
113,Гейм-дизайнер Middle +,https://hh.ru/vacancy/54407113?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Red Pill Studio,Москва,,180000,руб.
114,Junior game designer/Геймдизайнер,https://hh.ru/vacancy/54295761?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,PlayFlock,"Москва, ВДНХ",,,
115,Motion Designer,https://hh.ru/vacancy/54379396?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Azur Games,"Москва, Баррикадная и еще 2 ",,,
116,Web Designer (to Cyprus),https://hh.ru/vacancy/49085706?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Меркурио,"Москва, Дмитровская",,,
117,Texture Artist/Художник по текстурам (GameDev),https://hh.ru/vacancy/54328255?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Gaijin Games,Москва,,,
118,UI-дизайнер веб-интерфейсов,https://hh.ru/vacancy/53616357?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Современные информационные технологии,Москва,,,
119,UX/UI designer,https://hh.ru/vacancy/49796120?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"АО Точных Приборов, НИИ","Москва, Отрадное",,,
120,UX/UI Дизайнер (проектировщик интерфейсов),https://hh.ru/vacancy/54395277?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Монополия,Москва,,,
121,Lead UI/UX Designer,https://hh.ru/vacancy/51943548?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,KamaGames Studio,"Москва, Новокузнецкая",,,
122,Промышленный дизайнер / Industrial designer (MTS Devices),https://hh.ru/vacancy/53314151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ПАО «МТС» ,"Москва, Технопарк",,,
123,UI Designer (Senior),https://hh.ru/vacancy/54218853?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,Москва,,,
124,Дизайнер интерьеров,https://hh.ru/vacancy/54213353?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Студия дизайна Wanted Design Studio,Москва,70000,130000,
125,Middle Frontend разработчик,https://hh.ru/vacancy/54290143?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Авторские медиа,Москва,200000,220000,
126,Product Designer (mobile),https://hh.ru/vacancy/53986009?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Талала,Москва,,,
127,Графический дизайнер,https://hh.ru/vacancy/54299494?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Агентство по трудоустройству Ольги Тихомировой,Москва,,,
128,Дизайнер в рекламное агентство (проектная работа),https://hh.ru/vacancy/54044140?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Веб-студия Мы Еноты,Москва,80000,150000,
129,3D Motion Designer / Моушен Дизайнер / CG Generalist,https://hh.ru/vacancy/54291425?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Экокомерс,Москва,60000,120000,
130,Industrial Designer,https://hh.ru/vacancy/53277051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Русджам Стеклотара Холдинг,"Москва, Бабушкинская",,,
131,Ui designer (Дизайн-система),https://hh.ru/vacancy/54219398?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,Москва,,,
132,UI/UX-designer,https://hh.ru/vacancy/52480058?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО IQnergy,Москва,,,
133,Графический дизайнер,https://hh.ru/vacancy/54205446?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ОМНИК,Москва,,,
134,Дизайнер web-анимации,https://hh.ru/vacancy/54460265?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лига Ставок,"Москва, Белорусская",,,
135,3D Motion designer / 3D Моушн Дизайнер,https://hh.ru/vacancy/52558337?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Мир Хобби,"Москва, Бауманская",60000,130000,
136,Senior designer UX/UI,https://hh.ru/vacancy/54355627?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Вейман Варвара Петровна,Москва,,,
137,UX/UI Designer,https://hh.ru/vacancy/54054195?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,EMCD Tech LTD,Москва,,3000,USD
138,Graphic Designer/Illustrator,https://hh.ru/vacancy/54238711?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Guavapay Limited,Москва,1500,3000,USD
139,UI/UX Designer Game Dev,https://hh.ru/vacancy/54198245?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Red Rift,Москва,,,
140,Product Designer,https://hh.ru/vacancy/52622587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"Иннотех, Группа компаний",Москва,,,
141,Графический дизайнер,https://hh.ru/vacancy/53822540?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,LEDMONSTER,"Москва, Курская",100000,,руб.
142,Product designer B2B,https://hh.ru/vacancy/54044787?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,СберМаркет,Москва,,,
143,Графический дизайнер,https://hh.ru/vacancy/53940242?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО КОФЕ МАРКЕТ,Москва,50000,60000,
144,3D Motion designer,https://hh.ru/vacancy/52903869?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AdQuantum,Москва,70000,,руб.
145,3D иллюстратор,https://hh.ru/vacancy/54280337?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Почтовые технологии,Москва,,,
146,Lead Motion Designer (Ведущий Моушен дизайнер),https://hh.ru/vacancy/49122988?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Social Quantum,"Москва, Пушкинская и еще 1 ",,,
147,Продуктовый дизайнер / Mobile designer,https://hh.ru/vacancy/53828839?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Voximplant,"Москва, Тульская и еще 1 ",,,
148,Level Designer,https://hh.ru/vacancy/54298838?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЛАЙТ МЭП,Москва,,,
149,Design Director,https://hh.ru/vacancy/53814309?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Vigrom Corp.,Москва,,,
150,UX/UI Designer,https://hh.ru/vacancy/53931687?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Skipp.pro,Москва,,2408,USD
151,UI/UX Designer (E-learning / Gamedev) / Продуктовый дизайнер,https://hh.ru/vacancy/53333473?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Онлайн-школа Фоксфорд,"Москва, Тульская",,,
152,"Motion designer Матч ТВ (7/7, вечер)",https://hh.ru/vacancy/54298893?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Матч,"Москва, Телецентр",,,
153,Product designer (KasperskyOS),https://hh.ru/vacancy/49754060?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,"Москва, Водный стадион",,,
154,Product Designer B2B (Senior),https://hh.ru/vacancy/54205236?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,Москва,,,
155,UX-дизайнер / UX-designer / Проектировщик интерфейсов,https://hh.ru/vacancy/52819411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Квиллис,"Москва, Дмитровская",,,
156,Дизайнер интерьера/Interior designer HORECA,https://hh.ru/vacancy/52877390?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,УРБАН КОФИКС РАША,"Москва, Кропоткинская и еще 2 ",,,
157,UI/UX Designer,https://hh.ru/vacancy/53609722?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,WILDBERRIES,"Москва, Автозаводская",80000,,руб.
158,Графический дизайнер,https://hh.ru/vacancy/53802066?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,АО Кон.Трол,Москва,,,
159,UX/UI дизайнер,https://hh.ru/vacancy/54141910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Джи Эф Си,"Москва, Улица 1905 года",,,
